!
! Figure 3 of Lustig-Yaeger et al (2023)
! data sent by Jacob A. Lustig-Yaeger
!
! Press        H2O      
1.00000e-07  1.61100e-07
2.15440e-07  1.61100e-07
4.64160e-07  1.61100e-07
1.00000e-06  6.83600e-07
2.15440e-06  4.56710e-07
4.64160e-06  8.14000e-07
1.00000e-05  1.77620e-06
2.15440e-05  2.76110e-06
4.64160e-05  3.64150e-06
1.00000e-04  4.07360e-06
1.46780e-04  4.15900e-06
2.15440e-04  4.19780e-06
3.16230e-04  4.22410e-06
4.64160e-04  4.26620e-06
6.81290e-04  4.33620e-06
1.00000e-03  4.37210e-06
1.50000e-03  4.06280e-06
2.00000e-03  3.76920e-06
3.00000e-03  3.57390e-06
5.00000e-03  3.38430e-06
7.00000e-03  3.30420e-06
1.00000e-02  3.16590e-06
1.50000e-02  3.06290e-06
2.00000e-02  2.85410e-06
3.00000e-02  2.64320e-06
5.00000e-02  2.72870e-06
7.00000e-02  2.18350e-06
1.00000e-01  2.02190e-06
1.50000e-01  3.58340e-06
2.00000e-01  1.47280e-05
2.50000e-01  4.37920e-05
3.00000e-01  9.20590e-05
4.00000e-01  2.84850e-04
5.00000e-01  7.49540e-04
6.00000e-01  1.46730e-03
7.00000e-01  2.33770e-03
8.50000e-01  4.29630e-03
9.25000e-01  6.17430e-03
1.00000e+00  8.67090e-03
1.01300e+00  9.17720e-03
