!
! Figure 3 of Lustig-Yaeger et al (2023)
! data sent by Jacob A. Lustig-Yaeger
!
! Press        O3       
1.00000e-07  5.42550e-06
2.15440e-07  5.42550e-06
4.64160e-07  5.42550e-06
1.00000e-06  5.86500e-06
2.15440e-06  5.30270e-06
4.64160e-06  3.41240e-06
1.00000e-05  2.13060e-06
2.15440e-05  1.77890e-06
4.64160e-05  1.46180e-06
1.00000e-04  1.34480e-06
1.46780e-04  1.59740e-06
2.15440e-04  1.90470e-06
3.16230e-04  2.35660e-06
4.64160e-04  2.97740e-06
6.81290e-04  4.08150e-06
1.00000e-03  5.38000e-06
1.50000e-03  6.95320e-06
2.00000e-03  8.28600e-06
3.00000e-03  1.05820e-05
5.00000e-03  1.26960e-05
7.00000e-03  1.30880e-05
1.00000e-02  1.28630e-05
1.50000e-02  1.21810e-05
2.00000e-02  1.06180e-05
3.00000e-02  7.01200e-06
5.00000e-02  3.36010e-06
7.00000e-02  1.65090e-06
1.00000e-01  7.47980e-07
1.50000e-01  4.06400e-07
2.00000e-01  2.95190e-07
2.50000e-01  2.29740e-07
3.00000e-01  2.19340e-07
4.00000e-01  1.21850e-07
5.00000e-01  8.16790e-08
6.00000e-01  7.29420e-08
7.00000e-01  6.59660e-08
8.50000e-01  5.62910e-08
9.25000e-01  5.25980e-08
1.00000e+00  4.94410e-08
1.01300e+00  4.89390e-08
